uuid,ingestion_ts,price,symbol,threshold,trade_ts,volume,window_size
03bd5abd-4c9a-4872-b6b2-db61e8433915,2024-12-14 22:24:10.001+0000,101012.449999999997,BINANCE:BTCUSDT,3,2024-12-14 22:24:08.199+0000,0.01842,7
9e963513-2034-4413-a416-eaf9a06ce3d1,2024-12-14 22:08:25.001+0000,101101.039999999994,BINANCE:BTCUSDT,3,2024-12-14 22:08:21.965+0000,8e-05,7
4770d2a2-1fe8-4fb2-ad1f-91aaab5759a7,2024-12-14 22:37:25.001+0000,101117.740000000005,BINANCE:BTCUSDT,3,2024-12-14 22:37:20.325+0000,0.00012,7
68c09e62-db2e-45b6-a4e7-30df5120c397,2024-12-14 22:14:10.001+0000,100928,BINANCE:BTCUSDT,3,2024-12-14 22:14:03.816+0000,0.003,7
72e0e591-a62c-4a0a-bf82-f327d5c48882,2024-12-14 22:03:45.012+0000,101127.990000000005,BINANCE:BTCUSDT,3,2024-12-14 22:03:43.740+0000,3e-05,7
20d430ac-190a-45cc-ae02-e2c1b6a77912,2024-12-14 22:14:40.001+0000,100896.389999999999,BINANCE:BTCUSDT,3,2024-12-14 22:14:36.504+0000,5e-05,7
9d8f9f32-9910-4d16-bedd-93ce470bb1dd,2024-12-14 22:32:30.001+0000,101096.009999999995,BINANCE:BTCUSDT,3,2024-12-14 22:32:25.892+0000,8e-05,7
2ace95cf-d422-4046-b751-4a7372e8d41f,2024-12-14 22:09:25.002+0000,101092.470000000001,BINANCE:BTCUSDT,3,2024-12-14 22:09:21.706+0000,8e-05,7
47b84baa-f5fd-4557-ac44-68fc85e7b0af,2024-12-14 22:14:15.003+0000,100909.100000000006,BINANCE:BTCUSDT,3,2024-12-14 22:14:13.382+0000,0.00016,7
560f5f7d-e6e8-44b5-a5de-223e5bc798f7,2024-12-14 22:10:20.001+0000,101040.800000000003,BINANCE:BTCUSDT,3,2024-12-14 22:10:17.518+0000,6e-05,7
940a4ba4-b30f-41be-9e9d-508f6c3f03e4,2024-12-14 22:45:25.001+0000,101169.339999999997,BINANCE:BTCUSDT,3,2024-12-14 22:45:22.832+0000,6e-05,7
13a81471-cb4d-4bf7-b8b5-e3b5ec15565b,2024-12-14 22:14:25.003+0000,100908,BINANCE:BTCUSDT,3,2024-12-14 22:14:23.201+0000,0.04834,7
2f8e33f0-8655-4b9d-b3ac-4f78bbb791ab,2024-12-14 22:29:05.001+0000,101168,BINANCE:BTCUSDT,3,2024-12-14 22:29:01.916+0000,0.00322,7
55eeb2cb-369d-4f52-bada-52f7c2249257,2024-12-14 22:37:45.001+0000,101121.850000000006,BINANCE:BTCUSDT,3,2024-12-14 22:37:43.347+0000,9e-05,7
2ee8734f-ae28-4506-aa03-eafbfd32d407,2024-12-14 22:15:40.002+0000,100916.679999999993,BINANCE:BTCUSDT,3,2024-12-14 22:15:38.754+0000,5e-05,7
c1e61b81-7da0-481e-b8d0-af88023e310d,2024-12-14 22:14:25.003+0000,100908,BINANCE:BTCUSDT,3,2024-12-14 22:14:23.816+0000,0.00057,7
443ef7fa-3710-499f-aae3-15917efe6d4c,2024-12-14 22:45:35.002+0000,101159.800000000003,BINANCE:BTCUSDT,3,2024-12-14 22:45:29.161+0000,9e-05,7
5d8df6c5-a658-4bc8-a23d-6c9c9ba6e94e,2024-12-14 22:20:05.001+0000,100948.009999999995,BINANCE:BTCUSDT,3,2024-12-14 22:20:03.596+0000,8e-05,7
77ddb13e-0c01-41d2-b0c7-d15410c3996f,2024-12-14 22:19:05.001+0000,100993.309999999998,BINANCE:BTCUSDT,3,2024-12-14 22:19:00.395+0000,0.00011,7
